Số 02, LK48
Số nhà 3, ngách 32/291 đường Lê Trọng Tấn
Liền kề 24, 1 Ngô Thì Nhậm
Số lô 264 Khu đất dịch vụ, Khu Đô thị Xa La
BT5, 6 Khu đô thị mới Văn Khê
Số nhà 35, Ngõ 77 Cầu Noi
Đội 1, Thôn Đĩnh Tú
Số 16, ngõ 70/43 tổ dân phố Văn Trì 1
Nhà số 8, ngõ 6
Xóm Cầu, Thôn Đồng Bụt
Số 26, ngõ 95
Số 21, thôn Thượng Thùy
Số nhà 18, ngách 193/30/12 Phố Cầu Cốc
Số 107A Bùi Thị Xuân, Phường Nguyễn Du
Số 40, ngõ 40 đường Nam Yên Lũng
Lô số 4 khu BT 4, 1
Số 100, ngõ 84
Số 9, Ngách 41
Phòng 301 Tòa nhà Viễn Đông, số 36 Hoàng Cầu
Số nhà 51, đường Trục
P601, tầng 6
Số 09, ngách 10
Số nhà 34, Xóm Dõn
Số 7, Ngõ 43
Số nhà 17, Ngõ 116/37 Phố Miếu Đầm
Nhà NV 3.6, khu đô thị chức năng Tây Mỗ
Phòng 01, Tầng 2 Toà nhà Tây Hà
Số nhà 26, Tổ 7
Tầng 9, tòa nhà CDC
Số 64 Nhà vườn 1, Tổng cục 5
P.1201, 2
Số 9, Ngõ 17
Sỗ 9 dãy B4C, Khu đô thị Đầm Trấu
Số 1, ngõ 179 Đình Thôn
Số 1 ngõ 109, Trung Liệt
A2L2, 01+02
Số nhà 25, ngõ 91/2 đường Đại Mỗ
10.16, TT10
BT, 02.13
Tầng 6 Sky City Tower A, số 88 Láng Hạ
Tòa nhà Technosoft, số 8
Số 2D, nhà 1H
Số nhà 29, LK31 Khu đô thị Vân Canh HUD
Tầng 3, nhà số 168 Trần Vỹ
Tầng 18, tòa nhà LADECO
Số 43, 45 đường Nguyễn Hoàng
Số 114, phố Nhuệ Giang
B2.2 BT 10/26 Khu đô thị Thanh Hà Cineco 5, Xã Cự Khê
Số 106, ngõ 32 phố Đỗ Đức Dục
Số nhà 328 đường Xuân Phương, TDP số 7
Nhà 37, ngách 91
Nhà H2, ngõ 80
Số 12, Ngõ 10
Phòng 1201, 02
Số 12, ngõ 262B
Số nhà 29 Đường tiếp giáp Dịch Vụ 4, Tổ 1
Tầng 2 nhà số 6 Lô A, Ngõ 172 Vũ Hữu
Số 4, Ngách 27/40 Đường Tây Mỗ
Số 29, Ngách 8/11/92 Đường Lê Quang Đạo
Km17 Quốc lộ 32, Thôn Cao Trung
LK 46, LK47
Phòng 1303, Tầng 13 Tòa nhà Tungshing Square
Số nhà 15A ngõ 50 Đường Lĩnh Nam, Tổ 38A
Phòng 411Cowork06, Tầng 4
Tầng 10, tòa nhà ICON4
Số 31, N03 Triều Khúc
Tòa nhà Thai Nam Building, Lô E2
Lô C3, 5
Tầng 3, số 8 Phan Văn Trường
Số 11 ngõ 53 Bạch Đằng, Phường Chương Dương
Tầng 4. tòa Vinaconex 9, Lô HH2
KM 17, Quốc lộ 32
Đội 2, Thôn Đại Lan
Ngách 4, ngõ 38
84B Phố Nguyễn Thanh Bình, Phường Vạn Phúc
Tầng 4, tòa nhà Rainbow
Số nhà 33, tổ 1
Số nhà 73, Khu dân cư mới Mậu Lương
Số 25 phố Thọ Tháp, Phường Dịch Vọng Hậu
Tầng 8, 18 phố Khúc Thừa Dụ
Tầng 8, số 18 phố Khúc Thừa Dụ
Tầng 2 tòa nhà Trung Yên 1, Khu đô thị Trung Yên
Tầng 2, tòa nhà Trung Yên 1
Tầng 10, tòa nhà Việt á
Số 6, ngách 14
Số 9, Ngách 219/64 Định Công Thượng
Số nhà 27 LK1, Khu đô thị Lideco
Số 02, nhà A6
Số 18 lô 3 khu di dân Đền Lừ, Phường Hoàng Văn Thụ
Số 375 đường Phúc Diễn, tổ 1
B4, 12A Vinhomes Gardenia
Tầng 14, Tòa nhà Hapro
Số nhà 4, ngõ 38
L� s� 3, ng� 137 ph� Vi�t H�ng
S� nh� 19, ng�ch 1/44
Tầng 6 Tòa nhà hỗn hợp Sông Đà, Số 131 đường Trần Phú
số 27, ngõ 46
Số 14/15 ngõ Tô Tiền, phố Khâm Thiên
Số nhà 4, Lô 4 TT04
Tầng 5, tòa nhà Simco Sông Đà
Số 2A Ngõ 21 Tựu Liệt, Thôn Yên Ngưu
Lô 1 Khu công nghiệp Phú Minh, tổ dân phố Phú Minh
Số 52, ngõ 260 đường Cầu Giấy
57 Đàm Quang Trung, Tổ 14
số 34, đường Mỹ Đình.
Tầng 2, Số 250 Hoàng Quốc Việt
Số 8, Ngách 61/25
Số nhà 35 Ngõ 4, đường Cây Sữa
Số 2 Q15, Ngõ 126
Số 10 ngõ 348 Kim Giang, Phường Đại Kim
Số 4, Ngõ 6
Tầng 7 tòa nhà Sannam, Số 78 Phố Duy Tân
Số 2 Ngách 41 Ngõ Thịnh Quang, Phố Tây Sơn
Số 25, ngách 26/17 Nguyên Hồng
19A/234/150 Ngô Gia Tự, Phường Việt Hưng
292 Nghi Tàm, Phường Yên Phụ
Thôn Thượng, Xã Dương Hà
số nhà 18B, ngách 16
Thôn Bắc, Thị trấn Tây Đằng
Số 25, ngõ 165
Số 64 Ngõ 94 Phố Thượng Thanh, Phường Thượng Thanh
Số 54 ngõ 250/60/41 Phan Trọng Tuệ, Xã Thanh Liệt
Số 17 ngách 1/2 ngõ 13 Nguyễn Trực, Phường Phú Lãm
Số 59, ngõ 72 đường Cầu Noi
Biệt thự BT1, 6
Số 30, Ngách 445/46 Lạc Long Quân
Tầng 5, Tòa nhà M5
Tầng 3, 4
Thôn Thanh Trí, Xã Minh Phú
Thôn Văn Tinh, Xã Xuân Canh
Số 16, Ngõ 22 Tạ Quang Bửu
Xóm Chung, Thôn Nguyên Hanh
B13 Khu đô thị Trung Hòa Nhân Chính, Phường Nhân Chính
Số 4 hẻm 29/39/14 phố Khương Hạ, Phường Khương Đình
Tầng 3, Tòa nhà Big Tower
Tầng 17, Tòa nhà VIT 519 Kim Mã
Nhà số 07 Hoa Lan 8, Vinhomes Riverside
Lô B18, khu Bồ Hỏa
Số 38 đường Lý Thường Kiệt, Phường Quang Trung
Số 319 phố Quang Trung, Phường Quang Trung
số 231, B6
Lô L3, 33
Số 33 Tràng Thi, Phường Trần Hưng Đạo
Số 68, Liền kề 23
Số 10B phố Tràng Thi, Phường Hàng Trống
Số 5, Dãy N4
Số 60 Mai Anh Tuấn, Phường ô Chợ Dừa
Số 9, ngõ 116 phố Kim Hoa
Số nhà 10C, khu nhà ở thấp tầng
Số 03, phố Dương Khuê
Lô 2 Khu công nghiệp Phú Nghĩa, Xã Phú Nghĩa
Tầng 12, Tòa nhà Licogi 13
CH06, 17 số 6 đường 2.5 Khu đô thị Gamuda Gardens
Số 28 ngõ 224 đường Hoàng Mai, Phường Hoàng Văn Thụ
ô đất số 30, Lô đất số 6
Ki ốt 11B1 tòa nhà CT4, ĐN2
Số nhà 45, Lô N3A
Số 2, Ngõ A3
Số nhà 34, ngõ 97
Số 174 phố Thái Hà, Phường Trung Liệt
Số 27, Tổ 15
Số nhà 42 ngõ 08 Phố Văn Phú, KĐT Văn Phú
Số 5/98 Mễ Trì Thượng, Phường Mễ Trì
Số 9, Ngách 21
Tầng 1, Số 2 Ngõ 63 Đường Phú Đô
Số nhà 69 ngõ 167 đường Quang Tiến, Phường Đại Mỗ
Biệt thự Villa E6 The Manor Hà Nội, Phường Mỹ Đình 1
Tầng 9, Tòa nhà Gold Tower
Tầng 7 tòa nhà Zentower, số 12 Khuất Duy Tiến
B04, L02
Số 6/43/310 đường Nghi Tàm, Phường Yên Phụ
Tầng 1, 16a5 Lý Nam Đế
Số 12, Khu 1
Biệt thự TT 34.4, Khu đô thị mới Nam An Khánh
Số nhà 16, Ngách 70/79 Phố Văn Trì
Số 100B, Tổ 34
Tầng 12 ,Tòa nhà Diamond
Tầng 3, Khu Thương mại
Số nhà 3, ngách 2
S� th�a 53 khu ��t d�ch v� 6,9 ha
S� nh� 20,ng� 4
Ph�ng 403, T�a nh� Ocean Park
S� 43B, Ph� Th� Y
S� 32, ph� H�ng B�
S� 19, X�m 5
Số 24, ngõ 322E phố Lê Trọng Tấn
Tầng 15, Toà nhà An Phú 24 Hoàng Quốc Việt
Số 2, C9b
Tầng 5 LK11 A, 19
Xóm Đồng Bồ, thôn Viên Nam
Số 200, Thôn 84
Số nhà 5D, ngách 8
Đội 13, Thôn Phương Quan
Số 20, ngách 1
Số nhà 267 Đường 422 B Xóm 13, Thôn Hậu ái
Tầng 20, tòa nhà IDMC Mỹ Đình
Phòng 305, Tầng 3
A14, LK2 ô số 5
P102, số 6 Lê Thánh Tông
Số 2, Ngõ 62 Đường Sơn Đồng
Số 12 Trần Kim Xuyến, Khu Đô Thị Yên Hoà
Tầng 5, Số 51 Kim Mã
Số 16, ngõ 36 Phan Kế Bính
Số 36, Ngõ 167/31 Đường Quang Tiến
Tầng 8, Toà nhà CEO
Số nhà 6, Ngõ 161 Đường Nguyễn Xiển
Số 63 tổ dân phố 4, đường Yên Phúc
ô số 12 TT21, KĐT Văn Phú
Số 2 đường Minh Xuân, thôn Trường An
D24, TT9
Số 69, Ngõ 508 Đường Láng
Số nhà 27, ngách 2
Số nhà 8, xóm Lò
Tầng 15, khối B
Số 2, Ngõ 39
Số 235 C13 Tổ 6, Đường Nguyễn Văn Linh
Số 9, ngõ 193/101 đường Lĩnh Nam
36, BT5
Số nhà 56, tổ 4
Số nhà 2, ngõ 244 Trịnh Đình Cửu
Tầng 9 Tòa nhà 3D Center, Số 3 Phố Duy Tân
Số nhà 15, ngõ 250/60/103
Tầng 4, Tòa nhà Hoàng Sâm Building
Tầng 16, Tòa TNR Tower
Số 10, ngõ 21 Phố Quốc Tử Giám
Tầng 6, Số 22 Phố Láng Hạ
Số 9, Ngõ 9 Phố Lương Định Của
Tầng 4, tòa A
Nhà số 5, Ngõ 488/22/23 Trần Cung
DV4, LK70 Khu đất dịch vụ Yên Lộ
V11, B05 The Terra An Hưng
Số 39, ngõ 143 Trần Khát Chân
số nhà 12, ngõ 77A
L3, 02A KĐT Thiên Đường Bảo Sơn
Số 04, ngõ 545 Vũ Tông Phan
Số 20, ngách 12/93 ngõ 190 đường Nguyễn Trãi
Số 4A, Ngách 14
Tầng 1 Tháp A, Tòa nhà Helios Tower
236 Tam Trinh, tổ 17
Căn số 02, Lô LKV15
Ngõ 25, đường Đại Nghĩa
Số Nhà 40, Ngách 20/82 Đường Phú Minh
Số 4, ngách 189/15 Phố An Dương
Xóm Cậy, Thôn Cổ điển A
Số 115, phố Khâm Thiên
Số 22, Ngõ 235
tầng 6, Tòa nhà CIC
Số 25, 26
Tầng 13 Tòa Capital Place, số 19 Liễu Giai
Số 39, Ngõ 4 Thanh Bình
Tầng 2, khu thương mại văn phòng
Số 16, tầng 1
Số nhà 5, Xóm Tây
Số 28, Biệt thự 4
Số 36, Ngõ 75 đường tiếp giáp KĐT Văn Phú
Tầng 04, số 35 phố Chùa Láng
Khu 2, Thôn Hoàng Xá
Số 8, Ngõ 15 An Dương Vương
Số 287A, ngõ 288
Số 81 phố chợ, thôn 1
Số 3A ngõ 183A, ngách 255/47/7 đường Lĩnh Nam
Số 18, ngách 299/18 đường Hoàng Mai
LK 55, đường số 23
Số 227 Phạm Văn Đồng, Tổ dân phố Cáo Đỉnh 2
Phòng 903B, Tòa Sun Red River
Số 59A ngõ 491, đường La Thành
Số nhà 16A, ngách 20
Căn 38B Khu Angoland, Tổ 12
Số 10, ngõ 202
ABP.1716, An Bình Plaza
Số 3B, Ngách 52
Số ô 11.22, số lô TT11
Số 6, tổ 42 Làng Đại Yên
Số 6/45 Trần Thái Tông, Phường Dịch Vọng
Số 21, đường Long Phú 3
Tầng 6, tòa nhà Vinachimex
NV 40, khu dự án Imperia Garden
Tầng 1, số 136 Giảng Võ
Tầng 3, tòa nhà Vinachimex số 4 Phạm Ngũ Lão
Lô đất A2CN4, Cụm công nghiệp Từ Liêm
Số 21, ngõ 91 phố Cầu Cốc
Số 02, ngách 123/28 Đường Xuân Phương
Lô V5A, ô số 25 khu nhà ở Văn Phú
Số 24, đường Louis IX
Số 25, đường Nguyễn Hoàng
Ki ốt số 3, Tầng 1
Ngõ Trại Găng, tổ 43
Thửa No. 06 LK6 55, khu đất dịch vụ La Khê
Số 125A, ngõ Thịnh Quang
Số 531E1, ngách 147/2 phố Tân Mai
số 6, ngõ 376 đường Bưởi
Số 47, phố Nguyễn Khắc Hiếu
Tầng 9, Toà nhà Detech II
Số 268, 270
Tầng 11 tòa nhà Hà Nội Lakeview, D10 Giảng Võ
Tầng 8, Tòa Trung Yên 1
Số nhà 41 ngách 66/18/24 tổ 15, Đường Cốm Vòng
Số nhà ML6, 11 Khu đô thị Vinhomes Green Bay
Số 49, Ngách 28/90
Số 2, ngách 21
38B+40 Nam Ngư, Phường Cửa Nam
Số 8, Đường Đồng Tiến 1
Số 8, M6
Tầng 9, số 5 phố Điện Biên Phủ
Tầng 7, tòa nhà Ngọc Khánh
Toong Co, working space
Số nhà 15, ngách 16/47
Số nhà 15, ngõ 66 đường thôn 8
Tòa nhà BMS Tower, số 20
Số nhà 33, ngõ 110
Số 39, Ngõ 100 phố Dịch Vọng Hậu
Số 66 C Phố Phương Liệt, Tổ 28
Xóm 6, Thôn Lã Côi
Số 31, Ngõ 41 Thái Hà
Nhà 7, dãy 5 Khu Vệ Sỹ
DV2, LK31 Phố Yên Lộ
Số nhà 17 ngõ 33/3 xóm, thôn Phú Đô
Số 55, ngõ Đoàn Kết
Số 6, Ngõ 22 Đường Trung Kính
Số 8A, Ngõ 424
Khu VP tại số 7 Bằng Lăng 1, KĐT ST Vinhomes Riverside
Số 1A, B4 Tập thể học viện chính trị quốc gia Hồ Chí Minh
Tầng 6, Tòa nhà TH Office Tower 15
Số 1, hẻm 1
Số Nhà 128, Ngõ 120 Đường Trường Chinh
Tầng 8, Tòa nhà Văn phòng Viwaseen
Số 14, ngõ 104
Tầng 7, Tòa nhà Horison Tower
Số 56 Phố Mạc Thị Bưởi, Phường Vĩnh Tuy
Tầng 3, TTTM Chợ Hàng Da
Phòng 2102 Tòa nhà Officetel Vinhomes West Point, đường Đỗ Đ
Số nhà 9, Ngõ 7
Số 1, thôn Thượng Thụy
Số 22 ngách 6/46 đường 70, TDP 3 Miêu Nha
Số 3, ngách 371/44/12/3
Phòng 0531 Toà G3, Vinhomes Green Bay Mễ Trì
số 15 xóm Miếu, tổ 31
Phòng 402, Tầng 4
Căn hộ 11, TT H14
VT26, TT38 Khu đô thị mới Văn Phú
Số nhà 59, đường Võ Chí Công
Số 34, đường Trung Văn
I1, tổ 21
Tầng 2, số B5/D6 khu đô thị mới quận Cầu Giấy
Số nhà 19A, ngõ 269 Lạc Long Quân
Căn hộ số 17 tầng 34, Tháp C
Số 10 ngõ 322/158, đường Mỹ Đình
Số TT02A, đường Thạch Thảo
Tầng 15, Tòa A3
Số 20, liền kề 9
Tầng 2, Số 9
Sô 23B, ngõ 152 Đường Nguyễn Đình Hoàn
W1.3001,Vinhomes Westpoint
Số 42B ngõ 230 ngách 138 Định Công Thượng, Tổ 9
Số 84, phố Lê Văn Hưu
Số 13, Ngõ 193 Trung Kính
Tầng 6 Tòa nhà MD Complex, Số 68 Phố Nguyễn Cơ Thạch
B1, 28 Vinhomes Gardenia
Số 5 BT7 Đường Foresa 8, KĐT Tasco
Số 4, ngách 445/25 khu Ao Ngòi
Đội 2, Thôn Quyết Tiến
Số nhà NV2.25, Khu Biệt Thự nhà vườn Viglacera
Tầng 1 tòa C � Việt Đức Complex, ngõ 164 Khuất Duy Tiến
Tầng 14, Tòa nhà Sao Mai
Số 8, ngõ 3 Thái Hà
Nhà số 9, ngõ 129
Số 36 phố Trần Bình, Tổ 23
Số nhà 72, ngõ 113 đường Yên Hòa
Tầng 6A, 169 Nguyễn Ngọc Vũ
Tầng 16, Tòa nhà HL
Số 131 Trần Quốc Hoàn, tổ 3
Số nhà 28, A26 Đường Nghĩa Tân
Số nhà 40 ngõ 124 đường Tân Triều, Xóm Chùa
Số 32, ngõ 702
Số nhà 18A, Ngách 138/58 Đường Tân Triều
Số nhà 33 ngõ Lệnh Cư, Phố Khâm Thiên
Số 254, tổ 20
Lô 28 Liền kề 7, khu đô thị Văn Khê
Tầng 1, LK03
Lô B11, Cụm Công nghiệp
N09, LK07 Khu Văn Phú
Số 27, Ngõ 42 Đường Thanh Bình
Số 358, Block 36
B28, TT19
Lô V6, A5 The Terra An Hưng
Số 18, Ngõ 1182
Tầng 4 Tòa nhà HUD3 Tower, số 121
Số 12 Ngách 26 Ngõ Độc Lập, Đường Đê Xuân Quan
Số 7, hẻm 27/12
Số nhà 16, nghách 4/11
Số 69 La dương, Tổ dân phố Trung Bình
Số 127, ngõ 125
Tầng 5, số nhà 11B
S3OF8A tầng 3 tòa nhà S3 Vinhome Skylake, 50 Phạm Hùng
Số 36, ngõ 342
Tầng 4, tòa nhà Anh Minh
Tầng 2 số 16, ngõ 80/1 phố Nhân Hòa
Tầng 1, toà nhà Viemco
Tầng 6 Tòa nhà Việt á, Số 9 phố Duy Tân
ô 2.4 tầng 2 tòa nhà Amber Riverside, số 15 ngõ 622 Minh Kha
Số 94A, đường B
SB 17, 28
Số 113, ngách 121/119 đường Tây Mỗ
Số 2 Hoàng Quốc Việt, Phường Nghĩa Đô
Tầng 9 Tòa nhà Gold Tower, 275 Nguyễn Trãi
Số 54, Xóm Kho
Số 9B, Ngách 9 ngõ 647 Lạc Long Quân
Số 37 Đường Phùng Hưng, Tổ dân phố 1
Số 167 Trần Đăng Ninh, Tổ Dân Phố
Số nhà 02, Ngõ 272 đường Thanh Bình
Số 32 Lô D07 khu D Geleximco, đường Lê Trọng Tấn
Số 187, Tổ 8 Khu phố Quyết Thắng
Số 1 ngõ 106, đường Trần Phú
Tầng 2, tòa nhà Bạch Đằng
Số 2, ngách 58
Tầng 9, tòa nhà Sudico
Tầng 2, Số 26
Tầng 2, Toà nhà Detech Tower
Căn 29 Lô A43 Khu Geleximco, đường Lê Trọng Tấn
Tầng 3, tòa nhà Audi
ô 97, Lô TT2
Tầng 4, Tòa nhà T2 � Times Tower
Số 2A, ngõ 125 Bùi Xương Trạch
Tầng 3, số 31 � LK 6C
Tầng 7, Tòa nhà Đào Duy Anh
Số 6, ngách 3/1
Số nhà 18, ngách 46
Số nhà 27A, Ngõ 101 Phạm Ngọc Thạch
số nhà 17, ngách 18 ngõ 164 phố Hồng Mai
Số 2, 4 Nguyễn Hữu Huân
Số E27, ngõ 68
số 177, ngõ 143 Nguyễn Chính
Tổ dân phố số 17, Ngõ 54 Đường Đại Linh
Tầng 26, Tòa nhà văn phòng
Số 21, đường Mỹ Đình
Tầng 6 tòa nhà Sannam, số 78 Phố Duy Tân
Số 72 Nguyễn Chí Thanh, Phường Láng Thượng
Số nhà 103, ngõ 124
Số 95 A, đường 2 thôn Thái Phù
Số 68, Quốc lộ 2
Tầng 9 Tòa tháp C, Số 219 Trung Kính
P1004C, tầng 10
Số 92, phố Dịch Vọng Hậu
Số 21 Ngách 28/8 Đại Linh, Phường Trung Văn
Thôn 2, Xã Song Phương
Tầng 9, Tòa nhà 3D
Số 12, ngách 64
Lô 5, Khu nhà ở hỗn hợp 310 Minh Khai
Số 16 Nguyễn Du, Phường Nguyễn Du
Số 1 ngách 28/28, phố Đại Linh
Xóm Đường, thôn 1 Hạ Lôi
Số 120, Phố Yên Bình
Số 2, ngõ 90
Số 5A, phố Láng Hạ
Số 24 Quang Trung, Phường Trần Hưng Đạo
Đội 12, xóm Đình Đàu
19, LK 29
Tầng 10 tháp Tây, tòa nhà Hancorp Plaza
Số 25, lô M2 Khu đô thị mới Yên Hòa
Số 9, ngách 251/8
Tầng 01 tòa nhà Goldenpark, số 02 đường Phạm Văn Bạch
Số 29, Ngách 23
Tầng 14 Tòa nhà Vinaconex 9, đường Phạm Hùng
Số nhà 12, dãy D8
Số 45 ngõ 98 đường Nguyễn Văn Giáp, Phường Cầu Diễn
Tầng 1, Số 22 Lô C3
Thôn An Bình, Xã An Khánh
Nhà số 10, Ngõ 78 Thái Thịnh
Ngõ 7 Hữu Lê, Xã Hữu Hoà
Số 1, ngõ 142 Quốc Bảo
Số 7, Ngõ 530
P1402 Tòa nhà Tổng cục KTTV, số 8 Pháo Đài Láng
T�ng 2, t�a nh� HH
Nhà ông Đặng Đình Trạm, đường 35 � Thôn Lâm Hộ
Biệt thự BT13 Lô TT2 KĐT Nam Cường, Phố Tôn Quang Phiệt
Số nhà 12, Ngõ 98
D36, BT ô số 04
Tầng 31, Tòa nhà Handico
Số 35, ngõ 322/95/29
Tầng 8, tòa nhà MD Complex Tower
Số nhà 60, Thôn Thọ Vực
Lô 1, 3
Tầng 12, tòa nhà GELEXIMCO
Số 75, Ngõ 229b
Tầng 1, Số 35
Số 35, Ngõ 255
Thửa đất số 590, Tờ bản đồ số 01
Số nhà 26i, Ngõ 521
Số 27A, Ngõ Chùa Mới
Số 38, ngõ 166
Số nhà 28A, Ngõ 38 Phố Khúc Thừa Dụ
Số 2B, Ngõ 12 Phạm Tuấn Tài
Số 12A, ngõ 171
Số nhà 104, đường My Hạ
Số 15 nhà B, Tập thể Học viện Cảnh Sát
Căn hộ số 0806, tòa W1 Vinhomes West Point
Số 5 ngách 20/2, ngõ 20 phố Cát Linh
Tầng 6, số 87 Vương Thừa Vũ
Tầng 3, tòa nhà ND
Số 26 ngõ 280/3, phố Lê Trọng Tấn
số 18, ngách 31
ô 97, lô TT2
Số LH4, 42A
Số 9, phố Trương Công Giai
tầng 21, tòa nhà Vinaconex 9
Số 31, đường Bờ Đầm
Nhà 30, ngõ 25
Số 3 Ngách 52, Ngõ 420 Kim Giang.
Số 30A, ngách 92
Số 1, ngõ 73
Số nhà 20, Ngõ 376 Phố Vĩnh Hưng
Ngõ 6, đường Bùi Huy Bích
Số 1 ngõ 5 xóm Nam Giai, thôn Tân Phong
Tầng 6, Toà nhà văn phòng Số 52 Nguyễn Chí Thanh
Số 3, ngõ 84 Trần Thái Tông
Số 7, ngõ 81 phố Láng Hạ
Số 14 Lô 8, Đền Lừ 1
Số 15, Xóm Miếu
Nhà số 5, ngách 46/16 phố Trần Cung
Số 17, ngõ 44
Số 1 ngách 2, ngõ 22 phố Trung Kính
Số 43, Ngõ 204/41
L2.5 Khu nhà ở thấp tầng Hải Ngân, Yên Xá
Thôn 2, Xã Tân Hòa
Tầng 16 Tòa Nhà TNR Tower, số 54A Nguyễn Chí Thanh
Km 12 + 500, đường Ngọc Hồi
Số 230, Ngõ Chợ Khâm Thiên
Số nhà 90A, Ngõ 80 Yên Lãng
Số 45, Cao Trung 1
N06D, LK33
Nhà 28, dãy K
BT13, 15 Khu đô thị Phú Lương
Số 16 Trần Đăng Ninh, dãy 3
Số 86, Ngõ 84 Ngọc Khánh
Số 10, ngách 12/3
Số 28 ngách 29/16, ngõ 29 Khương Hạ
Km15 ��i L� Th�ng Long, Th�n Quy�t Ti�n
S� nh� 14A, ng�ch 79/56 ���ng C�u Gi�y
Nh� s� 6, Ng�ch 8
Số 71B, TT Viện Khoa học Nông nghiệp
Villa A3, 73 Vạn Bảo
Số 3 Biệt thự liền kề 1, KĐT Đại Thanh
Số 48, Tổ 1
Đội 5, thôn Yên Kiện
Số nhà 43, Ngõ 45 Đường Kim Ngọc
Nhà NB1 khu Thanh Xuân Complex, số 6 Lê Văn Thiêm
Số 1, ngõ 130/41 La Nội
Văn Phòng 5 Nhà Nối 18T1, 18T2 KĐT Trung Hòa
LK7, 10
Tầng 9 Tòa nhà văn phòng Prime Center, số 53 Quang Trung
P608, Tầng 6
số 10, Hẻm 68/4 Ngõ Chùa Liên Phái
Xóm Dinh, Thôn An Hạ
So�� 35, pho�� Chùa Láng
Số 55, Ngách 63/5/33 Lê Đức Thọ
Số nhà 71, Đường Thịnh Phát
LK01B Khu Hateco Green City Xuân Phương, Tổ 4
Số nhà 9B, ngách 36B
Số 85E, Phố Nguyễn Khang
HD03, 11
P403, tòa nhà văn phòng Ocean Park
Số nhà 36, xóm Giáo
Cụm Công nghiệp vừa và nhỏ Ngọc Sơn, Thôn Tràng An
Số 25, Ngõ 39 Đình Thôn
Số 14 ngõ 225, Nguyễn Đức Cảnh
A101, tòa Vimeco
Tầng 10 Toà nhà Hancorp Plaza, số 72 đường Trần Đăng Ninh
Số 9, Lô 12 Khu đô thị mới Dịch Vọng
Tòa nhà BMS Tower, số 20 ngõ 27/14 đường Tây Mỗ
238A, Km9
Tòa BMS Tower,số 20
Đội 3, Thôn Quyết Tiến
Số 04, lô 8
Số 12C, ngách 55
Số Nhà 5, Xóm Vồi
Số 24, ngách 6/153 TDP2 đường Miêu Nha
Số 4, ngõ 2
Tầng 4, tòa nhà Times Tower
301 ResCo, Work07
Tầng 9, Tòa nhà Gelex
Số 6 tổ 23 đường Kim Ngưu, Phường Thanh Lương
Số 110, 112 phố Bà Triệu
Số 44, ngõ 60
Số 73, ngõ 13 Lĩnh Nam
NV 07, Ngõ 2 Đường Phan Bá Vành
Số 66, phố Tân Thư
Số nhà 146, đường Hoàng Công Chất
Số 24, Đường Liên Thôn
Số nhà 52, Tổ dân phố 15
Số 115 Đường Nguyễn Viết Xuân, Phường Quang Trung
Nhà D46, TT18 Khu đô thị Văn Quán
Số 368, Đường Quang Trung
Tầng 3, số 19
Nhà số 9, ngách 65/72 phố Yên Lộ
Tầng 5, tòa nhà Nam Hải Lake View
Tầng 3, Số 26 Lê Trọng Tấn
Tầng 25, Khối B
Số nhà 24, đường 3
Thửa đất số 03, 13
Số nhà 5, ngách 16
Số 12, Ngách 72
Số 16 Ngách 15/5 Ngõ Gốc Đề, Tổ 15
Liền kề V6 C16 phố Victoria, khu đô thị Văn Phú Hà Đông
Số 5, Ngõ 202
Số 14, ngõ Chánh
Xóm 2, Thôn Quế Lâm
Số 23, Thôn Sen
thôn Do Thượng, Xã Tiền Phong
Số 8A3 CL2 Khu đô thị Nghĩa Đô, Dịch Vọng
Số 7, ngõ 5 ngách 5/4/19 Hoàng Quốc Việt
Số 11, 79/24 Dương Quảng Hàm
Số 35A, Ngõ 45 Trần Thái Tông
Căn hộ 24, Nhà
Số 109, Ngõ 209 Ngọc Hồi
Số 9, Ngõ 162 Nguyễn Tuân
Số 15, Tháp B
Số 8, C9
Số 15, Tổ 8
Số 42, Ngõ 206
Xóm 12, thôn Hậu ái
Số 1, ngõ 82
Số 46 Ngọc Trì, Phường Thạch Bàn
tầng 4, số 12 ngõ 14 Duy Tân
Lô E2, ngõ 133 đường Nguyễn Trãi
Tầng 3, số 44
Số 8, ngõ 28
Số nhà 8A, ngõ 224
Nhà số 24, hẻm 6/12/16 phố Đội Nhân
Căn A2+A3+A7+A8 khu nhà ở 13, Phố Sơn Tây
Số 14, 16
Tầng 3, Số 3a Ngõ 30 phố Đình Quán
Số 3, ngách 93/23
Nhà số 5 dãy D Tổ dân phố số 6, Đường Phùng Khoang
Số 42, đường 23B thôn Đìa
Số 3, ngõ 161
Số 15, No TT5.2
Số Nhà 60, Tổ 3
Số 3, LK4 Khu đô thị mới Vạn Phúc
Số 7, phố Lạc Trung
Lô dịch vụ 6, tầng 2
ô số 22, 23
số nhà 19, ngách 59/68
Số nhà 354, phố Thái Hà
Số 1, Ngõ 20
Số 6, Ngõ 328 đường Tây Mỗ
Số 6, Ngõ 198b Nguyễn Tuân
15VP3, Tòa nhà Ellipse 110 Trần Phú
Tầng 3, số 27 phố Trung Kính
Số 20, 22 Ngõ 208 Đường Phương Canh
Số 1, DV12
Số 28, BT6
Số 17, ngõ 62 Phùng Khoang
Số 66, ngõ 39 Đình Thôn
Tầng 2, số 19
Số 72 liền kề 23, khu đô thị HUD
Số nhà 21, ngách 15b
